year_week,product_name,sales
2025-00,00-119-8780,216
2025-00,00-215-7434,296
2025-00,00-357-2313,704
2025-00,00-366-9496,548
2025-00,00-405-7428,836
2025-00,00-440-9568,738
2025-00,00-534-9775,165
2025-00,00-641-8691,447
2025-00,00-842-9790,745
2025-00,00-963-2193,442
2025-00,01-018-6418,744
2025-00,01-026-2772,392
2025-00,01-050-2246,487
2025-00,01-144-5960,727
2025-00,01-173-0029,517
2025-00,01-439-6231,492
2025-00,01-703-8441,727
2025-00,01-820-5784,160
2025-00,01-839-6534,557
2025-00,01-903-5373,273
2025-00,02-034-6209,121
2025-00,02-085-7218,377
2025-00,02-170-5225,416
2025-00,02-275-6061,77
2025-00,02-484-0206,738
2025-00,02-508-3777,438
2025-00,02-559-8196,739
2025-00,02-575-1980,108
2025-00,02-655-3240,84
2025-00,02-888-9412,473
2025-00,02-895-7781,607
2025-00,02-920-4829,543
2025-00,02-974-8526,412
2025-00,03-043-9933,488
2025-00,03-061-1344,359
2025-00,03-149-9760,545
2025-00,03-276-3931,299
2025-00,03-441-4252,110
2025-00,03-597-9488,609
2025-00,03-833-3577,245
2025-00,03-919-9890,198
2025-00,03-940-0630,763
2025-00,04-001-1793,515
2025-00,04-038-1547,150
2025-00,04-104-6993,568
2025-00,04-240-2226,245
2025-00,04-277-5245,365
2025-00,04-293-6969,364
2025-00,04-453-5485,337
2025-00,04-542-3863,253
2025-00,04-637-8815,211
2025-00,04-758-0410,566
2025-00,05-184-4175,685
2025-00,05-193-8096,599
2025-00,05-334-2923,623
2025-00,05-425-0746,122
2025-00,05-498-7751,577
2025-00,05-720-8792,403
2025-00,05-899-1428,102
2025-00,06-068-6793,366
2025-00,06-336-5482,402
2025-00,06-340-6856,439
2025-00,06-503-5891,231
2025-00,06-611-5454,513
2025-00,06-655-5498,676
2025-00,06-690-2335,827
2025-00,06-706-6490,617
2025-00,06-731-2162,392
2025-00,06-797-4963,136
2025-00,06-849-4869,389
2025-00,06-858-5680,138
2025-00,06-955-3428,247
2025-00,06-996-3221,431
2025-00,07-074-1196,882
2025-00,07-219-8017,720
2025-00,07-337-9889,291
2025-00,07-389-5740,646
2025-00,07-617-6934,391
2025-00,07-679-1199,369
2025-00,07-834-3320,613
2025-00,07-846-4804,395
2025-00,07-858-5487,193
2025-00,07-970-9352,275
2025-00,08-114-3922,276
2025-00,08-196-2703,261
2025-00,08-213-2058,350
2025-00,08-226-5155,646
2025-00,08-396-2704,437
2025-00,08-495-6853,471
2025-00,08-519-5579,732
2025-00,08-573-9997,448
2025-00,08-637-9335,294
2025-00,08-703-1382,839
2025-00,08-725-8156,684
2025-00,08-940-8578,255
2025-00,08-961-3009,412
2025-00,09-101-1740,318
